,PS_C,PS_F,Vainqueur,Proba_Favori,Proba_Challenger
14238,4.96,1.22,favori,0.7603636,0.23963642
14239,19.0,1.03,favori,0.94935286,0.05064714
14240,6.16,1.17,favori,0.7444109,0.25558913
14241,6.23,1.16,favori,0.77014613,0.22985387
14242,3.39,1.38,favori,0.6898265,0.3101735
14243,1.68,2.36,challenger,0.423817,0.57618296
14244,4.22,1.28,challenger,0.65695155,0.34304845
14245,3.75,1.33,favori,0.7493007,0.25069928
14246,3.28,1.4,favori,0.73667383,0.26332617
14247,1.7,2.31,challenger,0.42601573,0.57398427
14248,1.75,2.25,favori,0.49110973,0.5088903
14249,2.33,1.69,favori,0.7301288,0.26987118
14250,2.9,1.48,favori,0.71481407,0.28518593
14251,2.33,1.69,favori,0.6469103,0.3530897
14252,9.95,1.09,challenger,0.848899,0.151101
14253,2.33,1.69,favori,0.42828152,0.57171845
14254,12.5,1.06,favori,0.8905175,0.10948253
14255,5.88,1.18,favori,0.78163576,0.21836424
14256,3.33,1.39,challenger,0.51091844,0.48908156
14257,5.46,1.19,favori,0.7422116,0.25778842
14258,3.28,1.4,favori,0.7810311,0.21896893
14259,3.38,1.38,favori,0.6494812,0.35051882
14260,9.2,1.1,favori,0.7768784,0.22312158
14261,3.64,1.34,challenger,0.6981111,0.30188888
14262,3.64,1.34,favori,0.6347969,0.36520308
14263,7.94,1.13,favori,0.7844326,0.21556741
14264,1.73,2.26,challenger,0.3947907,0.6052093
14265,2.95,1.47,challenger,0.6083884,0.39161158
14266,4.47,1.26,favori,0.6987538,0.30124623
14267,1.47,2.97,favori,0.5472326,0.45276737
14268,2.81,1.51,favori,0.69039434,0.30960566
14269,2.84,1.5,favori,0.6502929,0.34970713
14270,3.85,1.32,favori,0.7217833,0.27821672
14271,2.9,1.48,challenger,0.73493594,0.26506406
14272,1.69,2.34,favori,0.49885258,0.5011474
14273,3.2,1.41,favori,0.6283373,0.37166268
14274,2.63,1.56,challenger,0.52280855,0.47719145
14275,1.88,2.04,challenger,0.6701782,0.32982183
14276,1.9,2.03,favori,0.49051505,0.50948495
14277,2.62,1.57,challenger,0.6770708,0.3229292
14278,1.63,2.47,favori,0.51880217,0.48119783
14279,2.36,1.68,favori,0.6591371,0.34086287
14280,2.39,1.66,favori,0.6048745,0.3951255
14281,2.03,1.91,challenger,0.65990615,0.34009385
14282,5.17,1.21,favori,0.67342484,0.32657516
14283,1.86,2.06,favori,0.6440664,0.3559336
14284,4.96,1.22,favori,0.7505733,0.24942672
14285,2.9,1.48,challenger,0.66916937,0.33083063
