,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
25022,5.93,1.17,favori,favori,0.2441104,0.7558896
25023,2.1,1.84,challenger,favori,0.40952903,0.59047097
25024,2.67,1.55,favori,challenger,0.5154017,0.4845983
25025,1.47,2.93,challenger,challenger,0.62453413,0.37546584
25026,2.98,1.43,favori,favori,0.16375154,0.83624846
25027,7.7,1.13,favori,favori,0.07535124,0.92464876
25028,2.72,1.53,favori,favori,0.38499624,0.61500376
25029,1.79,2.17,favori,challenger,0.5893254,0.4106746
25030,3.92,1.31,challenger,favori,0.28368807,0.71631193
25031,1.72,2.27,challenger,favori,0.4617132,0.5382868
25032,2.15,1.8,challenger,challenger,0.6298114,0.3701886
25033,1.86,2.07,challenger,favori,0.43283433,0.5671657
25034,1.61,2.52,favori,favori,0.3388846,0.6611154
25035,3.3,1.38,challenger,favori,0.32519138,0.6748086
25036,1.96,1.9,challenger,favori,0.36697525,0.63302475
25037,6.65,1.14,challenger,favori,0.22444731,0.7755527
25038,1.86,2.03,challenger,challenger,0.5506934,0.4493066
25039,10.91,1.07,favori,favori,0.18996763,0.81003237
25040,4.89,1.21,favori,favori,0.30677676,0.69322324
25041,1.99,1.9,favori,challenger,0.5717781,0.42822188
25042,1.56,2.59,challenger,favori,0.49991703,0.50008297
25043,2.12,1.79,favori,favori,0.41655958,0.5834404
25044,2.37,1.63,challenger,challenger,0.5081481,0.4918519
25045,8.05,1.11,favori,favori,0.08151442,0.9184856
25046,2.16,1.76,challenger,favori,0.40660322,0.5933968
25047,2.28,1.67,challenger,favori,0.4255798,0.5744202
25048,4.44,1.25,challenger,favori,0.19606519,0.8039348
25049,1.71,2.25,challenger,favori,0.39609903,0.60390097
25050,5.4,1.18,favori,favori,0.23758698,0.762413
25051,1.28,4.06,challenger,favori,0.3826915,0.6173085
25052,3.7,1.32,challenger,favori,0.24086905,0.75913095
25053,3.1,1.41,favori,challenger,0.5701693,0.42983067
25054,1.82,2.04,challenger,challenger,0.5639305,0.43606952
25055,2.58,1.56,challenger,favori,0.31079268,0.6892073
25056,2.46,1.61,challenger,challenger,0.53258234,0.46741766
25057,3.9,1.29,challenger,favori,0.19982564,0.80017436
25058,1.82,2.04,favori,favori,0.39339268,0.6066073
25059,1.68,2.3,favori,challenger,0.62366045,0.37633952
25060,1.66,2.37,favori,challenger,0.5073222,0.49267778
25061,5.5,1.19,favori,favori,0.13837552,0.8616245
25062,2.55,1.57,favori,favori,0.46507424,0.53492576
25063,4.67,1.23,challenger,favori,0.20719904,0.79280096
25064,5.85,1.17,favori,favori,0.33228242,0.6677176
25065,1.4,3.2,challenger,challenger,0.5302123,0.4697877
25066,14.14,1.04,favori,favori,0.05971372,0.9402863
25067,4.3,1.26,favori,favori,0.26329875,0.73670125
25068,2.89,1.45,favori,favori,0.39238715,0.60761285
25069,2.37,1.66,challenger,favori,0.49065334,0.50934666
25070,7.41,1.12,favori,favori,0.16494071,0.8350593
25071,2.29,1.7,favori,challenger,0.5490091,0.45099092
25072,15.91,1.04,favori,favori,0.082021296,0.9179787
25073,6.85,1.15,favori,favori,0.12829167,0.87170833
25074,2.66,1.54,favori,favori,0.34841126,0.65158874
25075,17.65,1.03,favori,favori,0.06335068,0.9366493
25076,3.73,1.33,favori,favori,0.19458538,0.8054146
25077,17.22,1.04,favori,favori,0.061766267,0.93823373
25078,3.62,1.34,favori,favori,0.365039,0.634961
25079,1.98,1.94,favori,challenger,0.5277939,0.4722061
25080,4.18,1.27,favori,favori,0.39062142,0.6093786
25081,6.0,1.17,favori,favori,0.2573251,0.7426749
25082,2.7,1.54,challenger,favori,0.46118146,0.53881854
25083,1.87,2.06,favori,challenger,0.5088779,0.49112216
25084,4.74,1.24,challenger,favori,0.16699606,0.83300394
25085,5.21,1.2,challenger,favori,0.14907926,0.85092074
25086,5.85,1.18,favori,favori,0.1547054,0.8452946
25087,4.01,1.28,favori,favori,0.22587651,0.7741235
25088,4.66,1.23,challenger,favori,0.42300934,0.57699066
25089,3.36,1.38,favori,favori,0.26165682,0.7383432
25090,2.87,1.49,challenger,favori,0.36635417,0.63364583
25091,2.98,1.43,favori,favori,0.4277951,0.5722049
25092,2.42,1.6,favori,favori,0.32576698,0.674233
25093,4.58,1.24,favori,favori,0.34900063,0.65099937
25094,4.05,1.28,challenger,challenger,0.5895762,0.41042382
25095,2.38,1.62,favori,challenger,0.5468966,0.45310342
25096,1.49,2.8,challenger,favori,0.49558806,0.50441194
25097,1.57,2.55,challenger,favori,0.33285755,0.66714245
25098,1.67,2.33,challenger,challenger,0.5115607,0.48843935
25099,3.05,1.43,favori,favori,0.499878,0.500122
25100,2.12,1.76,favori,favori,0.35240304,0.64759696
25101,1.98,1.93,favori,favori,0.2691462,0.7308538
25102,3.6,1.34,favori,favori,0.38285458,0.6171454
25103,2.67,1.52,favori,favori,0.44486243,0.5551376
25104,4.24,1.26,favori,challenger,0.500437,0.49956295
25105,2.19,1.72,challenger,favori,0.48583806,0.51416194
25106,1.78,2.17,favori,favori,0.32948434,0.67051566
25107,3.92,1.3,favori,favori,0.42182207,0.5781779
25108,2.6,1.56,challenger,favori,0.25955027,0.7404497
25109,1.27,4.26,challenger,favori,0.40655017,0.59344983
25110,1.08,11.17,challenger,challenger,0.67158884,0.32841116
25111,6.02,1.17,favori,favori,0.2622409,0.7377591
25112,3.17,1.41,favori,favori,0.3807506,0.6192494
25113,1.28,4.14,challenger,favori,0.4171688,0.5828312
25114,1.95,1.95,challenger,favori,0.3225147,0.6774853
25115,5.27,1.2,favori,favori,0.17245996,0.82754004
25116,4.83,1.22,challenger,challenger,0.5624526,0.4375474
25117,5.64,1.18,favori,favori,0.36929464,0.63070536
25118,2.52,1.59,favori,favori,0.40675896,0.59324104
25119,2.38,1.65,favori,challenger,0.5476262,0.4523738
25120,2.86,1.48,favori,favori,0.36574048,0.6342595
25121,4.34,1.26,favori,favori,0.18217611,0.8178239
25122,2.5,1.57,favori,favori,0.2958572,0.7041428
25123,1.74,2.22,favori,challenger,0.50426745,0.49573258
25124,1.83,2.09,challenger,challenger,0.5923776,0.4076224
25125,2.2,1.75,challenger,challenger,0.5009675,0.49903247
25126,1.79,2.15,challenger,challenger,0.5416832,0.45831683
25127,1.34,3.56,favori,challenger,0.5303247,0.46967533
25128,3.85,1.31,favori,favori,0.39963102,0.600369
25129,2.73,1.52,challenger,favori,0.4368717,0.5631283
25130,1.37,3.45,favori,challenger,0.5341152,0.4658848
25131,2.37,1.67,favori,challenger,0.5519317,0.44806832
25132,1.51,2.8,challenger,favori,0.45318562,0.5468144
25133,1.95,1.95,favori,favori,0.4079936,0.5920064
25134,5.63,1.18,favori,favori,0.23523325,0.76476675
25135,1.88,2.02,challenger,challenger,0.5596487,0.4403513
25136,25.99,1.01,favori,favori,0.12206155,0.87793845
25137,9.35,1.09,favori,favori,0.10161251,0.8983875
25138,2.53,1.59,challenger,favori,0.28291917,0.71708083
25139,1.85,2.01,challenger,challenger,0.5520755,0.4479245
25140,5.61,1.18,favori,favori,0.3043195,0.6956805
25141,2.57,1.57,favori,favori,0.2610669,0.7389331
25142,3.68,1.33,favori,favori,0.45750123,0.54249877
25143,1.87,2.0,challenger,favori,0.3888374,0.6111626
25144,25.99,1.01,favori,favori,0.060322523,0.9396775
25145,1.18,5.63,challenger,favori,0.48836565,0.51163435
25146,1.83,2.1,challenger,favori,0.36324704,0.63675296
25147,3.85,1.31,challenger,challenger,0.5479897,0.4520103
25148,11.0,1.07,favori,favori,0.19639641,0.8036036
25149,7.48,1.12,favori,favori,0.20151591,0.7984841
25150,20.71,1.04,favori,favori,0.10008055,0.89991945
25151,15.92,1.04,favori,favori,0.085493624,0.9145064
25152,3.4,1.37,favori,favori,0.47046864,0.52953136
25153,2.34,1.68,favori,favori,0.38573354,0.61426646
25154,6.35,1.15,challenger,favori,0.15181166,0.84818834
25155,4.14,1.28,favori,favori,0.47721106,0.52278894
25156,4.3,1.26,challenger,favori,0.22072822,0.7792718
25157,4.46,1.25,favori,favori,0.42482692,0.5751731
25158,4.51,1.24,favori,favori,0.21938139,0.7806186
25159,76.0,1.01,favori,favori,0.015066445,0.98493356
25160,5.46,1.19,favori,favori,0.1998151,0.8001849
25161,3.97,1.29,favori,favori,0.25433815,0.74566185
25162,1.2,5.24,challenger,favori,0.49530232,0.5046977
25163,3.0,1.45,favori,favori,0.4395855,0.5604145
25164,8.67,1.1,favori,favori,0.11221969,0.8877803
25165,4.65,1.24,favori,favori,0.2666688,0.7333312
25166,1.08,10.44,challenger,challenger,0.5807063,0.4192937
25167,8.26,1.11,favori,favori,0.2342211,0.7657789
25168,10.44,1.08,favori,favori,0.20100105,0.79899895
25169,51.0,1.01,favori,favori,0.017310143,0.98268986
25170,1.4,3.22,favori,favori,0.35679436,0.64320564
25171,1.46,2.95,challenger,favori,0.39268517,0.6073148
25172,7.73,1.12,favori,favori,0.48063195,0.51936805
25173,1.16,6.16,challenger,challenger,0.79055566,0.20944434
25174,3.0,1.45,favori,favori,0.2137714,0.7862286
25175,6.02,1.17,favori,favori,0.28742236,0.71257764
25176,1.29,4.05,challenger,challenger,0.52743304,0.47256696
25177,9.87,1.08,favori,favori,0.15436101,0.845639
25178,4.72,1.23,favori,favori,0.28950626,0.71049374
25179,1.15,6.48,challenger,challenger,0.51496387,0.4850361
25180,13.0,1.06,favori,favori,0.13827384,0.86172616
25181,22.73,1.02,favori,favori,0.025699914,0.9743001
25182,32.93,1.01,favori,favori,0.033640325,0.9663597
25183,1.28,4.12,challenger,favori,0.49584073,0.5041593
25184,5.99,1.17,favori,favori,0.22264737,0.77735263
25185,3.28,1.39,favori,favori,0.4827355,0.5172645
25186,9.35,1.09,favori,favori,0.1467436,0.8532564
25187,2.11,1.81,favori,favori,0.38263625,0.61736375
25188,3.56,1.34,favori,favori,0.17782968,0.8221703
