,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
26091,1.92,1.99,challenger,challenger,0.5607805,0.43921944
26092,5.68,1.18,favori,favori,0.2881745,0.7118255
26093,2.31,1.69,challenger,challenger,0.56790996,0.43209004
26094,3.4,1.37,favori,favori,0.33266884,0.66733116
26095,2.5,1.6,favori,favori,0.4440266,0.5559734
26096,5.08,1.21,favori,favori,0.16568452,0.8343155
26097,3.69,1.33,favori,favori,0.3665887,0.6334113
26098,2.44,1.64,favori,favori,0.39535016,0.60464984
26099,2.0,1.93,challenger,challenger,0.635636,0.364364
26100,7.29,1.13,favori,favori,0.18815929,0.8118407
26101,7.47,1.13,favori,favori,0.16056299,0.839437
26102,2.92,1.48,favori,favori,0.23613918,0.7638608
26103,8.36,1.11,favori,favori,0.10849643,0.8915036
26104,2.47,1.63,challenger,favori,0.41074526,0.58925474
26105,1.93,2.0,favori,favori,0.3695867,0.6304133
26106,7.83,1.12,favori,favori,0.12569952,0.8743005
26107,2.25,1.74,favori,challenger,0.53550005,0.46449995
26108,2.32,1.7,challenger,favori,0.42847717,0.57152283
26109,4.51,1.25,challenger,favori,0.27832633,0.72167367
26110,3.34,1.39,challenger,favori,0.32648695,0.67351305
26111,5.97,1.17,favori,favori,0.11827493,0.8817251
26112,7.45,1.12,favori,favori,0.1935001,0.8064999
26113,2.11,1.81,favori,favori,0.44348294,0.55651706
26114,1.77,2.18,challenger,challenger,0.54828763,0.45171234
26115,4.24,1.27,favori,favori,0.15894759,0.8410524
26116,4.03,1.29,favori,favori,0.37386268,0.6261373
26117,2.29,1.7,challenger,favori,0.38778293,0.61221707
26118,3.85,1.31,favori,favori,0.16024965,0.83975035
26119,1.7,2.29,favori,challenger,0.505029,0.49497098
26120,7.05,1.13,favori,favori,0.14327538,0.8567246
26121,3.94,1.3,favori,favori,0.329812,0.670188
26122,3.81,1.31,favori,favori,0.23864055,0.76135945
26123,2.47,1.61,challenger,favori,0.4941749,0.5058251
26124,4.71,1.24,favori,favori,0.1811735,0.8188265
26125,4.55,1.25,favori,favori,0.28432906,0.71567094
26126,1.56,2.65,favori,favori,0.41422093,0.5857791
26127,3.73,1.31,favori,challenger,0.51289964,0.48710033
26128,1.25,4.36,challenger,challenger,0.63287663,0.36712337
26129,2.1,1.81,challenger,favori,0.37869012,0.6213099
26130,1.67,2.33,challenger,challenger,0.5146333,0.48536673
26131,14.14,1.04,favori,favori,0.031167507,0.9688325
26132,1.57,2.55,challenger,favori,0.45911312,0.5408869
26133,6.02,1.16,favori,favori,0.2581386,0.7418614
26134,2.62,1.54,challenger,favori,0.33599305,0.66400695
26135,2.0,1.89,favori,favori,0.45889562,0.5411044
26136,2.52,1.58,favori,favori,0.38734818,0.6126518
26137,1.81,2.1,favori,favori,0.38904774,0.61095226
26138,3.09,1.42,favori,favori,0.28416276,0.71583724
26139,3.13,1.41,favori,favori,0.37141597,0.628584
26140,3.14,1.41,favori,favori,0.29222333,0.70777667
26141,3.1,1.41,challenger,favori,0.2803216,0.7196784
26142,3.0,1.44,favori,favori,0.22636765,0.77363235
26143,3.9,1.29,favori,favori,0.2571615,0.7428385
26144,9.69,1.08,favori,favori,0.10135728,0.8986427
26145,3.9,1.29,favori,favori,0.31785262,0.6821474
26146,1.74,2.2,challenger,challenger,0.5666728,0.4333272
26147,1.74,2.2,favori,challenger,0.62944037,0.37055963
26148,2.94,1.45,favori,favori,0.35494763,0.6450524
26149,16.29,1.03,favori,favori,0.028905332,0.97109467
26150,2.67,1.53,favori,favori,0.30319977,0.69680023
26151,2.74,1.51,challenger,favori,0.2611552,0.7388448
26152,1.95,1.93,favori,favori,0.48243922,0.5175608
26153,2.62,1.54,favori,favori,0.24416292,0.7558371
26154,2.2,1.74,challenger,challenger,0.61305404,0.38694596
26155,6.34,1.15,favori,favori,0.08468443,0.91531557
26156,3.56,1.34,favori,favori,0.2708773,0.7291227
26157,7.58,1.12,favori,favori,0.15989542,0.8401046
26158,4.93,1.22,challenger,favori,0.18272334,0.81727666
26159,3.6,1.34,favori,favori,0.24180788,0.7581921
26160,3.56,1.34,challenger,favori,0.25375658,0.7462434
26161,4.34,1.26,favori,favori,0.21249461,0.7875054
26162,22.73,1.02,favori,favori,0.030961454,0.96903855
26163,2.54,1.58,challenger,favori,0.3729456,0.6270544
26164,2.38,1.65,favori,favori,0.3445258,0.6554742
26165,2.44,1.63,challenger,favori,0.34365457,0.6563454
26166,2.0,1.91,favori,favori,0.35770178,0.6422982
26167,8.67,1.1,challenger,favori,0.10129768,0.8987023
26168,22.73,1.02,favori,favori,0.026673436,0.97332656
26169,1.46,2.95,favori,favori,0.40535545,0.59464455
26170,5.8,1.17,favori,favori,0.26523727,0.7347627
26171,4.97,1.22,favori,favori,0.16191822,0.8380818
26172,5.0,1.21,favori,favori,0.35204202,0.647958
26173,7.04,1.13,favori,favori,0.170686,0.829314
26174,3.51,1.35,favori,favori,0.30810887,0.69189113
26175,6.76,1.14,favori,favori,0.19205672,0.8079433
26176,2.68,1.53,favori,favori,0.17528099,0.824719
26177,1.59,2.52,challenger,challenger,0.51776916,0.48223084
26178,1.74,2.25,favori,challenger,0.62052906,0.37947094
