,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
12837,2.23,1.7519999999999998,favori,favori,0.33712703,0.66287297
12838,33.89,1.01,favori,favori,0.04715264,0.95284736
12839,2.51,1.61,favori,favori,0.3898909,0.6101091
12840,2.91,1.4780000000000002,favori,favori,0.2738915,0.7261085
12841,1.746,2.24,challenger,challenger,0.5071176,0.4928824
12842,26.0,1.022,favori,favori,0.06751913,0.9324809
12843,2.49,1.617,favori,favori,0.404446,0.595554
12844,5.63,1.188,favori,favori,0.22903007,0.7709699
12845,2.26,1.73,favori,favori,0.35054195,0.64945805
12846,6.5,1.155,favori,favori,0.20802385,0.79197615
12847,3.36,1.385,favori,challenger,0.5362925,0.4637075
12848,4.19,1.281,favori,favori,0.23729539,0.7627046
12849,2.52,1.606,challenger,favori,0.39927036,0.60072964
12850,3.2,1.415,favori,favori,0.41748375,0.58251625
12851,3.16,1.422,favori,favori,0.37208027,0.62791973
12852,1.862,2.07,challenger,challenger,0.53625786,0.46374217
12853,11.5,1.071,favori,favori,0.14603305,0.85396695
12854,5.55,1.1909999999999998,challenger,favori,0.17591989,0.8240801
12855,4.88,1.227,favori,favori,0.20596552,0.7940345
12856,2.84,1.4980000000000002,favori,favori,0.38646024,0.61353976
12857,1.952,1.971,challenger,challenger,0.5430001,0.45699987
12858,3.41,1.376,favori,favori,0.42308605,0.57691395
12859,3.06,1.442,challenger,favori,0.46183234,0.53816766
12860,3.43,1.3730000000000002,challenger,favori,0.35622346,0.64377654
12861,2.64,1.5619999999999998,favori,favori,0.18790805,0.81209195
12862,3.14,1.426,favori,favori,0.3829062,0.6170938
12863,2.17,1.787,favori,challenger,0.5002241,0.49977586
12864,4.6,1.247,challenger,favori,0.36734885,0.63265115
12865,2.65,1.556,challenger,favori,0.4078446,0.5921554
12866,3.1,1.435,favori,favori,0.41951334,0.58048666
12867,2.66,1.5519999999999998,favori,favori,0.34834772,0.6516523
