,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
15275,3.73,1.32,favori,favori,0.3317559598967331,0.6682440401032669
15276,2.92,1.47,challenger,favori,0.34444823466651997,0.65555176533348
15277,3.79,1.32,challenger,favori,0.393104125367555,0.606895874632445
15278,1.85,2.06,favori,favori,0.39966865444087163,0.6003313455591284
15279,2.18,1.78,challenger,favori,0.42221472326228693,0.5777852767377131
15280,2.01,1.9,favori,challenger,0.5221748830458798,0.4778251169541202
15281,2.13,1.8,challenger,favori,0.4515901403057042,0.5484098596942958
15282,3.28,1.39,challenger,favori,0.308108572832931,0.691891427167069
15283,2.89,1.47,challenger,favori,0.31704290438561256,0.6829570956143874
15284,4.65,1.23,favori,favori,0.25234236590295334,0.7476576340970467
15285,5.76,1.18,favori,favori,0.2669511582745667,0.7330488417254333
15286,4.73,1.23,favori,favori,0.34169993423949596,0.658300065760504
15287,1.36,3.45,challenger,favori,0.36184490695258986,0.6381550930474101
15288,1.64,2.41,challenger,challenger,0.5539930708817598,0.4460069291182402
15289,3.28,1.39,challenger,favori,0.28141143353939835,0.7185885664606017
15290,1.74,2.22,favori,favori,0.3778781259068228,0.6221218740931772
15291,3.77,1.32,favori,favori,0.20274749085481325,0.7972525091451867
15292,7.71,1.12,favori,favori,0.1881633880878285,0.8118366119121715
15293,4.46,1.25,favori,favori,0.4155493162249807,0.5844506837750193
15294,5.08,1.21,favori,favori,0.3034881472737666,0.6965118527262334
15295,2.62,1.56,challenger,favori,0.3322384503552168,0.6677615496447832
15296,2.45,1.63,challenger,favori,0.3072860766522385,0.6927139233477615
15297,3.0,1.45,challenger,challenger,0.5158749185520023,0.4841250814479977
15298,1.68,2.34,challenger,favori,0.4137051686083346,0.5862948313916654
15299,1.8,2.13,challenger,favori,0.3863335817489443,0.6136664182510557
15300,2.72,1.52,challenger,favori,0.4430461442858009,0.5569538557141991
15301,2.38,1.65,favori,favori,0.3399939877635495,0.6600060122364505
15302,4.38,1.26,favori,favori,0.2528611361312505,0.7471388638687495
15303,3.07,1.43,favori,favori,0.3179785662087148,0.6820214337912852
15304,1.96,1.94,favori,favori,0.3246879977138152,0.6753120022861848
