,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
19424,1.6669999999999998,2.4,favori,favori,0.2596264050019467,0.7403735949980528
19425,1.73,2.27,favori,favori,0.010579797979797979,0.989420202020202
19426,1.649,2.44,challenger,favori,0.09220291669115202,0.9077970833088482
19427,1.909,2.0,challenger,favori,0.04545126540126538,0.9545487345987346
19428,1.877,2.04,favori,favori,0.10020010822510833,0.8997998917748921
19429,1.383,3.41,favori,favori,0.04271739926739927,0.9572826007326011
19430,2.58,1.595,challenger,challenger,0.6219910188396732,0.3780089811603271
19431,5.1,1.222,favori,challenger,0.6136181421519655,0.3863818578480341
19432,1.2,5.5,favori,challenger,0.7959545298354895,0.2040454701645105
19433,1.485,2.86,favori,favori,0.24556127354757382,0.7544387264524259
19434,2.26,1.735,favori,favori,0.13350714318361384,0.8664928568163864
19435,1.543,2.74,favori,favori,0.1807378394481337,0.8192621605518667
19436,1.862,2.06,challenger,favori,0.36328358295471297,0.6367164170452868
19437,1.546,2.73,favori,challenger,0.6589366796956949,0.3410633203043048
19438,1.413,3.22,favori,favori,0.1518033235684165,0.8481966764315835
19439,1.465,2.95,favori,favori,0.11197783058015263,0.888022169419847
19440,3.57,1.361,challenger,favori,0.10302167277167276,0.8969783272283272
19441,2.63,1.578,challenger,favori,0.053701861734756474,0.9462981382652434
19442,1.465,2.95,favori,favori,0.20223081852787753,0.7977691814721231
19443,1.5619999999999998,2.68,favori,challenger,0.6996552463875992,0.30034475361240087
19444,1.128,8.11,favori,favori,0.11683965740142217,0.8831603425985781
19445,1.385,3.4,favori,favori,0.397104222520399,0.6028957774796013
19446,1.356,3.61,favori,favori,0.0513851232101232,0.9486148767898769
19447,1.08,11.0,favori,favori,0.08472512242659301,0.9152748775734071
19448,1.1,9.0,challenger,favori,0.21296695703677132,0.7870330429632285
19449,3.12,1.431,challenger,favori,0.03671738278061808,0.9632826172193818
19450,1.244,4.7,challenger,favori,0.06602140653464181,0.9339785934653579
19451,2.73,1.546,challenger,favori,0.04646627065744711,0.9535337293425529
19452,2.99,1.457,favori,challenger,0.6263005656149683,0.37369943438503134
19453,2.07,1.855,challenger,favori,0.1791145803542863,0.8208854196457137
19454,1.177,6.15,favori,favori,0.050503921568627416,0.9494960784313728
19455,2.39,1.671,favori,favori,0.3774734644669629,0.6225265355330368
19456,1.641,2.46,challenger,favori,0.25473641064817554,0.7452635893518249
19457,1.298,4.06,favori,favori,0.3722318330919015,0.6277681669080979
19458,2.63,1.578,challenger,favori,0.103048935043285,0.8969510649567158
19459,2.96,1.463,challenger,favori,0.1064831083948731,0.8935168916051266
19460,1.3159999999999998,3.86,favori,favori,0.06655825449060743,0.9334417455093931
19461,1.714,2.3,challenger,challenger,0.5791968147865212,0.4208031852134792
19462,1.29,4.15,favori,favori,0.43063245323361427,0.5693675467663858
19463,2.89,1.4780000000000002,challenger,favori,0.10279516329903338,0.8972048367009673
19464,2.15,1.8,challenger,favori,0.10877760931878583,0.8912223906812148
19465,1.362,3.56,challenger,favori,0.21068418037071296,0.7893158196292871
19466,1.368,3.52,favori,favori,0.14107259929612884,0.858927400703871
19467,2.74,1.543,challenger,favori,0.17322721228719679,0.8267727877128042
