,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
27856,1.65,2.43,challenger,favori,0.49424702,0.505753
27857,7.58,1.13,favori,favori,0.14232087,0.8576791
27858,2.65,1.56,challenger,favori,0.26562786,0.73437214
27859,13.84,1.06,favori,favori,0.056821585,0.9431784
27860,2.95,1.47,favori,favori,0.2600366,0.7399634
27861,5.01,1.22,favori,favori,0.106340945,0.89365906
27862,3.54,1.36,challenger,favori,0.2002731,0.7997269
27863,2.4,1.65,favori,favori,0.3033573,0.6966427
27864,6.69,1.14,favori,favori,0.15842581,0.8415742
27865,2.39,1.65,favori,favori,0.42584538,0.5741546
27866,2.67,1.54,challenger,favori,0.34496415,0.65503585
27867,1.92,1.99,favori,favori,0.43250567,0.56749433
27868,1.76,2.19,favori,favori,0.42808014,0.57191986
27869,2.27,1.71,challenger,favori,0.31404036,0.68595964
27870,2.34,1.68,favori,challenger,0.60692513,0.3930749
27871,5.98,1.17,favori,favori,0.30294108,0.6970589
27872,3.72,1.32,challenger,favori,0.2221511,0.7778489
27873,3.33,1.38,favori,favori,0.28149766,0.71850234
27874,3.69,1.33,challenger,favori,0.32004344,0.67995656
27875,3.24,1.4,challenger,favori,0.33339757,0.66660243
27876,3.14,1.42,challenger,favori,0.23821986,0.76178014
27877,1.83,2.1,challenger,challenger,0.5606115,0.4393885
27878,2.18,1.77,favori,favori,0.35570115,0.64429885
27879,1.46,2.95,challenger,challenger,0.60808325,0.39191675
27880,2.37,1.66,favori,challenger,0.52439487,0.47560516
27881,2.02,1.88,challenger,favori,0.48165566,0.51834434
27882,3.31,1.38,challenger,favori,0.23468244,0.76531756
27883,1.68,2.32,favori,favori,0.4487185,0.5512815
27884,1.63,2.43,favori,challenger,0.564125,0.435875
27885,2.09,1.83,favori,favori,0.27537334,0.72462666
27886,3.22,1.4,challenger,favori,0.21591222,0.7840878
27887,4.85,1.22,favori,favori,0.236336,0.763664
