,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
15606,1.862,2.06,challenger,favori,0.4552306300874284,0.5447693699125716
15607,1.33,3.73,favori,favori,0.39772357723577234,0.6022764227642277
15613,1.128,8.09,favori,challenger,0.5595279416869142,0.4404720583130857
15615,1.376,3.46,challenger,challenger,0.5595279416869142,0.4404720583130857
15616,1.14,7.43,favori,favori,0.4552306300874284,0.5447693699125716
15618,1.227,5.01,challenger,challenger,0.5595279416869142,0.4404720583130857
15619,1.328,3.75,challenger,favori,0.24712930604093858,0.7528706939590614
15620,1.273,4.36,favori,favori,0.39772357723577234,0.6022764227642277
15622,1.87,2.05,challenger,favori,0.08791208791208792,0.9120879120879121
15623,3.06,1.442,challenger,favori,0.287900612171408,0.7120993878285921
15624,2.03,1.885,challenger,favori,0.08791208791208792,0.9120879120879121
15629,2.14,1.806,challenger,favori,0.287900612171408,0.7120993878285921
15630,1.067,13.0,favori,favori,0.24712930604093858,0.7528706939590614
15631,2.58,1.595,challenger,favori,0.08791208791208792,0.9120879120879121
15633,2.15,1.8,challenger,favori,0.08791208791208792,0.9120879120879121
15634,1.277,4.31,favori,favori,0.4552306300874284,0.5447693699125716
15635,1.069,12.53,favori,favori,0.24712930604093858,0.7528706939590614
15636,1.645,2.45,favori,favori,0.287900612171408,0.7120993878285921
15638,2.41,1.662,challenger,favori,0.24712930604093858,0.7528706939590614
15640,2.28,1.725,challenger,favori,0.08791208791208792,0.9120879120879121
15641,1.284,4.22,favori,favori,0.08791208791208792,0.9120879120879121
15642,1.5619999999999998,2.68,challenger,favori,0.4552306300874284,0.5447693699125716
15643,1.177,6.15,favori,favori,0.034578146611341634,0.9654218533886584
15644,4.5,1.263,challenger,favori,0.24712930604093858,0.7528706939590614
15645,1.293,4.11,favori,favori,0.39772357723577234,0.6022764227642277
15646,1.621,2.51,favori,favori,0.08791208791208792,0.9120879120879121
15647,2.51,1.621,challenger,favori,0.24712930604093858,0.7528706939590614
15648,1.082,11.25,favori,challenger,0.5595279416869142,0.4404720583130857
15649,2.08,1.847,favori,favori,0.08791208791208792,0.9120879120879121
15650,2.27,1.73,challenger,challenger,0.5595279416869142,0.4404720583130857
15651,1.826,2.11,favori,favori,0.287900612171408,0.7120993878285921
15652,2.23,1.7519999999999998,favori,challenger,0.5595279416869142,0.4404720583130857
15653,1.769,2.2,challenger,favori,0.08791208791208792,0.9120879120879121
15654,1.143,7.3,favori,favori,0.4552306300874284,0.5447693699125716
15655,1.592,2.59,challenger,favori,0.4552306300874284,0.5447693699125716
15656,1.3130000000000002,3.9,challenger,favori,0.287900612171408,0.7120993878285921
15657,1.855,2.07,challenger,favori,0.08791208791208792,0.9120879120879121
15658,1.208,5.41,favori,favori,0.08791208791208792,0.9120879120879121
15659,1.177,6.15,favori,favori,0.39772357723577234,0.6022764227642277
15660,1.08,11.0,favori,favori,0.4552306300874284,0.5447693699125716
15661,1.51,2.81,favori,challenger,0.5595279416869142,0.4404720583130857
15662,1.365,3.54,favori,favori,0.15873015873015872,0.8412698412698413
15663,1.3330000000000002,3.7,favori,favori,0.4552306300874284,0.5447693699125716
15664,1.735,2.26,challenger,favori,0.08791208791208792,0.9120879120879121
15665,2.18,1.781,favori,favori,0.034578146611341634,0.9654218533886584
15667,1.485,2.86,favori,favori,0.39772357723577234,0.6022764227642277
15668,1.231,4.93,favori,favori,0.287900612171408,0.7120993878285921
15669,1.662,2.41,favori,favori,0.39772357723577234,0.6022764227642277
15670,2.2,1.769,challenger,favori,0.15873015873015872,0.8412698412698413
15671,1.091,10.0,favori,favori,0.08791208791208792,0.9120879120879121
15672,1.3769999999999998,3.45,challenger,favori,0.39772357723577234,0.6022764227642277
15673,2.11,1.826,challenger,favori,0.08791208791208792,0.9120879120879121
15674,1.3130000000000002,3.9,challenger,favori,0.39772357723577234,0.6022764227642277
15675,1.4,3.3,challenger,favori,0.287900612171408,0.7120993878285921
15677,1.272,4.37,challenger,favori,0.15873015873015872,0.8412698412698413
15678,3.26,1.4069999999999998,challenger,favori,0.287900612171408,0.7120993878285921
15679,1.439,3.08,favori,favori,0.24712930604093858,0.7528706939590614
15680,1.356,3.61,favori,favori,0.15873015873015872,0.8412698412698413
15681,1.505,2.78,favori,favori,0.287900612171408,0.7120993878285921
15682,1.171,6.25,favori,favori,0.4552306300874284,0.5447693699125716
15684,1.617,2.52,challenger,favori,0.39772357723577234,0.6022764227642277
15685,3.16,1.4240000000000002,challenger,challenger,0.5595279416869142,0.4404720583130857
15687,1.51,2.76,favori,favori,0.3678516228748068,0.6321483771251932
15691,1.917,1.99,challenger,favori,0.3678516228748068,0.6321483771251932
15693,1.8,2.15,challenger,favori,0.3678516228748068,0.6321483771251932
15694,1.394,3.34,favori,favori,0.3678516228748068,0.6321483771251932
15695,1.435,3.1,favori,favori,0.3678516228748068,0.6321483771251932
15696,1.4240000000000002,3.16,favori,favori,0.3678516228748068,0.6321483771251932
15697,1.51,2.81,favori,favori,0.4552306300874284,0.5447693699125716
15699,2.94,1.467,challenger,favori,0.16276041666666666,0.8372395833333334
15700,1.293,4.11,favori,favori,0.24712930604093858,0.7528706939590614
15701,1.143,7.3,favori,favori,0.3678516228748068,0.6321483771251932
15702,1.5,2.85,challenger,favori,0.3678516228748068,0.6321483771251932
15703,1.3130000000000002,3.89,favori,favori,0.16276041666666666,0.8372395833333334
15705,1.719,2.29,challenger,favori,0.034578146611341634,0.9654218533886584
15708,1.481,2.88,challenger,favori,0.39772357723577234,0.6022764227642277
15709,1.658,2.42,challenger,favori,0.16276041666666666,0.8372395833333334
15710,1.446,3.04,favori,challenger,0.5595279416869142,0.4404720583130857
15711,1.37,3.5,favori,favori,0.16276041666666666,0.8372395833333334
15712,1.238,4.8,favori,favori,0.4552306300874284,0.5447693699125716
15713,1.633,2.48,favori,favori,0.39772357723577234,0.6022764227642277
15714,1.474,2.91,challenger,favori,0.3678516228748068,0.6321483771251932
15715,1.133,7.8,challenger,favori,0.16276041666666666,0.8372395833333334
15717,2.19,1.775,challenger,favori,0.287900612171408,0.7120993878285921
15718,2.55,1.606,favori,favori,0.4552306300874284,0.5447693699125716
15719,1.505,2.82,favori,challenger,0.5595279416869142,0.4404720583130857
15720,1.741,2.25,favori,favori,0.24712930604093858,0.7528706939590614
15722,1.82,2.12,favori,favori,0.24712930604093858,0.7528706939590614
15723,1.763,2.21,challenger,favori,0.16276041666666666,0.8372395833333334
15724,1.19,5.75,favori,favori,0.4552306300874284,0.5447693699125716
15725,2.53,1.6130000000000002,favori,challenger,0.5730337078651685,0.42696629213483145
15726,1.556,2.7,favori,favori,0.24712930604093858,0.7528706939590614
15727,1.463,2.96,favori,favori,0.15873015873015872,0.8412698412698413
15728,1.4,3.3,favori,favori,0.287900612171408,0.7120993878285921
15729,1.111,8.75,favori,challenger,0.5595279416869142,0.4404720583130857
15730,1.278,4.3,challenger,favori,0.287900612171408,0.7120993878285921
15733,1.199,5.53,favori,favori,0.034578146611341634,0.9654218533886584
15735,1.746,2.24,favori,challenger,0.5595279416869142,0.4404720583130857
15736,1.877,2.04,favori,favori,0.287900612171408,0.7120993878285921
15737,1.3769999999999998,3.45,favori,favori,0.39772357723577234,0.6022764227642277
15738,1.709,2.31,favori,favori,0.16276041666666666,0.8372395833333334
15740,1.709,2.31,favori,challenger,0.5595279416869142,0.4404720583130857
15741,1.68,2.37,challenger,favori,0.24712930604093858,0.7528706939590614
15742,1.435,3.1,favori,challenger,0.5595279416869142,0.4404720583130857
15743,1.82,2.12,challenger,favori,0.287900612171408,0.7120993878285921
15744,1.408,3.25,favori,favori,0.287900612171408,0.7120993878285921
15745,3.55,1.364,challenger,challenger,0.5595279416869142,0.4404720583130857
15746,1.208,5.41,challenger,challenger,0.5595279416869142,0.4404720583130857
15747,1.091,10.0,challenger,favori,0.4552306300874284,0.5447693699125716
15748,1.735,2.26,challenger,favori,0.16276041666666666,0.8372395833333334
15749,1.524,2.78,favori,favori,0.39772357723577234,0.6022764227642277
15751,1.741,2.25,challenger,favori,0.21658986175115208,0.783410138248848
15752,1.588,2.6,challenger,favori,0.16276041666666666,0.8372395833333334
15753,1.51,2.81,favori,favori,0.39772357723577234,0.6022764227642277
15754,1.15,7.05,favori,favori,0.287900612171408,0.7120993878285921
15755,1.352,3.64,favori,favori,0.287900612171408,0.7120993878285921
15756,1.676,2.38,challenger,favori,0.4552306300874284,0.5447693699125716
15757,1.071,12.0,favori,favori,0.39772357723577234,0.6022764227642277
15758,1.146,7.25,favori,favori,0.36024844720496896,0.639751552795031
15759,1.6669999999999998,2.4,favori,favori,0.287900612171408,0.7120993878285921
15760,2.39,1.671,favori,favori,0.39772357723577234,0.6022764227642277
15761,1.585,2.61,favori,challenger,0.5595279416869142,0.4404720583130857
15762,1.418,3.19,challenger,favori,0.39772357723577234,0.6022764227642277
15763,1.704,2.32,favori,favori,0.287900612171408,0.7120993878285921
15764,1.204,5.4,challenger,challenger,0.5595279416869142,0.4404720583130857
15765,1.2,5.5,favori,favori,0.24712930604093858,0.7528706939590614
15766,1.089,10.25,favori,favori,0.4552306300874284,0.5447693699125716
15767,1.135,7.7,favori,favori,0.39772357723577234,0.6022764227642277
15768,1.325,3.78,favori,favori,0.47556142668428003,0.52443857331572
15769,1.641,2.46,favori,favori,0.3678516228748068,0.6321483771251932
15770,2.31,1.709,favori,favori,0.47556142668428003,0.52443857331572
15771,1.694,2.34,favori,favori,0.3678516228748068,0.6321483771251932
15772,1.165,6.46,favori,favori,0.3678516228748068,0.6321483771251932
15773,2.31,1.709,challenger,favori,0.39772357723577234,0.6022764227642277
15774,1.625,2.5,favori,favori,0.287900612171408,0.7120993878285921
15775,1.481,2.88,favori,favori,0.39772357723577234,0.6022764227642277
15776,1.581,2.62,favori,favori,0.4552306300874284,0.5447693699125716
15777,1.855,2.07,favori,favori,0.36024844720496896,0.639751552795031
15778,1.321,3.82,favori,favori,0.3678516228748068,0.6321483771251932
15779,1.119,8.15,favori,favori,0.39772357723577234,0.6022764227642277
15780,1.19,5.75,challenger,favori,0.16276041666666666,0.8372395833333334
15781,1.485,2.86,favori,favori,0.4552306300874284,0.5447693699125716
15782,1.3030000000000002,4.0,favori,favori,0.47556142668428003,0.52443857331572
15783,1.82,2.12,challenger,favori,0.4552306300874284,0.5447693699125716
15784,1.408,3.25,favori,favori,0.39772357723577234,0.6022764227642277
15785,1.083,11.0,favori,challenger,0.5595279416869142,0.4404720583130857
15786,1.418,3.19,favori,favori,0.287900612171408,0.7120993878285921
15787,1.3219999999999998,3.81,favori,favori,0.287900612171408,0.7120993878285921
15788,1.237,4.82,favori,challenger,0.5595279416869142,0.4404720583130857
15789,1.877,2.04,favori,favori,0.15873015873015872,0.8412698412698413
15790,1.99,1.917,favori,favori,0.24712930604093858,0.7528706939590614
15791,2.64,1.575,favori,favori,0.287900612171408,0.7120993878285921
15792,1.156,6.81,favori,favori,0.4552306300874284,0.5447693699125716
15793,1.7519999999999998,2.23,challenger,favori,0.4552306300874284,0.5447693699125716
15794,1.649,2.44,challenger,challenger,0.5595279416869142,0.4404720583130857
15795,1.588,2.6,favori,favori,0.287900612171408,0.7120993878285921
15796,1.275,4.34,favori,favori,0.4552306300874284,0.5447693699125716
15797,1.33,3.73,favori,favori,0.24712930604093858,0.7528706939590614
15798,1.234,4.87,favori,favori,0.287900612171408,0.7120993878285921
